,text,pos_tag,session,tier_name,start_time,end_time
0,Mhm,PROPN,r1A,ORT-MAU,555.791958,556.120896
1,ja,ADV,r1A,ORT-MAU,557.064417,557.211542
2,sehr,ADV,r1A,ORT-MAU,562.649333,563.026458
3,richtig,ADV,r1A,ORT-MAU,563.026458,563.411083
4,ja,ADV,r1A,ORT-MAU,564.572188,564.752187
5,also,ADV,r1A,ORT-MAU,565.862271,566.112271
6,mehr,ADV,r1A,ORT-MAU,567.680271,568.3295
7,ja,ADV,r1A,ORT-MAU,578.008792,578.355917
8,ja,ADV,r1A,ORT-MAU,578.874417,579.121542
9,genau,ADV,r1A,ORT-MAU,579.246625,579.53375
10,mittig,ADV,r1A,ORT-MAU,585.197604,585.567604
11,ja,ADV,r1A,ORT-MAU,585.982646,586.121333
12,ja,ADV,r1A,ORT-MAU,587.588062,587.778063
13,direkt,ADV,r1A,ORT-MAU,598.217375,598.4645
14,in,ADP,r1A,ORT-MAU,598.4645,598.5345
15,der,DET,r1A,ORT-MAU,598.5345,598.6745
16,Küche,NOUN,r1A,ORT-MAU,598.6745,598.9245
17,steht,VERB,r1A,ORT-MAU,598.9245,599.282104
18,achso,VERB,r1A,ORT-MAU,601.419396,601.739396
19,ja,ADV,r1A,ORT-MAU,604.657604,604.724729
20,ich,PRON,r1A,ORT-MAU,604.724729,604.784729
21,glaub,ADV,r1A,ORT-MAU,604.784729,605.064729
22,auch,ADV,r1A,ORT-MAU,605.064729,605.428021
23,also,ADV,r1A,ORT-MAU,605.446979,605.744104
24,allei-,X,r1A,ORT-MAU,605.744104,606.064104
25,allein,ADV,r1A,ORT-MAU,606.064104,606.304104
26,schon,ADV,r1A,ORT-MAU,606.304104,606.684104
27,für,ADP,r1A,ORT-MAU,606.684104,606.884104
28,die,DET,r1A,ORT-MAU,606.954104,607.104104
29,Schuhe,NOUN,r1A,ORT-MAU,607.104104,607.403292
30,ja,ADV,r1A,ORT-MAU,609.195125,609.38225
31,ja,ADV,r1A,ORT-MAU,617.255729,617.342854
32,ja,ADV,r1A,ORT-MAU,617.342854,617.692854
33,genau,ADV,r1A,ORT-MAU,617.692854,618.043437
34,ja,ADV,r1A,ORT-MAU,618.043437,618.380562
35,ja,ADV,r1A,ORT-MAU,618.380562,618.570563
